item_id,restaurant_id,item_name,category,price,is_veg,is_available,popularity_rank,calories
I000001,R0001,Chicken Nuggets,starter,252.0,True,True,69,133
I000002,R0001,Butter Naan,side_dish,365.0,True,True,49,279
I000003,R0001,Pav Bhaji,starter,531.0,True,True,49,494
I000004,R0001,Laccha Paratha,side_dish,277.0,True,True,35,861
I000005,R0001,Coleslaw,side_dish,251.0,True,True,86,378
I000006,R0001,Laccha Paratha,side_dish,349.0,True,True,61,491
I000007,R0001,Coca-Cola,beverage,359.0,True,False,29,125
I000008,R0001,Pav Bhaji,starter,316.0,True,True,6,363
I000009,R0001,Fish Tikka,starter,250.0,True,True,78,645
I000010,R0001,Mineral Water,beverage,548.0,True,True,37,649
I000011,R0001,Chicken Pizza,main_course,273.0,True,True,53,857
I000012,R0001,Bhel Puri,snack,158.0,True,True,52,228
I000013,R0001,Chocolate Mousse,dessert,191.0,True,True,1,266
I000014,R0001,Cold Coffee,beverage,460.0,True,True,82,505
I000015,R0001,Mutton Biryani,main_course,352.0,True,True,31,139
I000016,R0002,Halwa,dessert,385.0,False,True,69,380
I000017,R0002,Coleslaw,side_dish,374.0,True,False,27,827
I000018,R0002,Hakka Noodles,main_course,164.0,False,True,19,441
I000019,R0002,Kulfi,dessert,189.0,True,False,18,540
I000020,R0002,Fish Tikka,starter,206.0,True,True,96,296
I000021,R0002,Kulfi,dessert,187.0,True,True,95,567
I000022,R0002,Papad,side_dish,315.0,True,True,7,122
I000023,R0002,Rose Sharbat,beverage,287.0,True,True,70,563
I000024,R0002,Veg Spring Rolls,starter,219.0,True,True,41,302
I000025,R0002,Coca-Cola,beverage,103.0,False,True,95,628
I000026,R0002,Coca-Cola,beverage,140.0,True,True,48,390
I000027,R0002,Fish Curry,main_course,215.0,True,True,73,282
I000028,R0002,Mutton Biryani,main_course,136.0,True,True,28,664
I000029,R0002,Mini Burgers,snack,342.0,True,True,74,200
I000030,R0002,Chicken Nuggets,starter,344.0,True,False,7,708
I000031,R0002,Chicken Wings,starter,187.0,True,True,17,431
I000032,R0002,Pita Bread,side_dish,181.0,True,True,85,293
I000033,R0002,Aloo Tikki,starter,383.0,False,True,82,250
I000034,R0003,Mutton Biryani,main_course,128.0,True,True,7,571
I000035,R0003,Mutton Biryani,main_course,100.0,True,True,25,283
I000036,R0003,Egg Curry,main_course,188.0,True,True,75,896
I000037,R0003,Chicken Wings,starter,197.0,False,True,30,114
I000038,R0003,Samosa (2 pcs),starter,81.0,False,True,30,180
I000039,R0003,Cold Coffee,beverage,154.0,False,True,31,879
I000040,R0003,Ice Cream (Vanilla),dessert,75.0,True,True,82,182
I000041,R0003,Green Salad,side_dish,152.0,True,True,51,126
I000042,R0003,Paneer Butter Masala,main_course,78.0,True,True,33,161
I000043,R0003,Jeera Rice,side_dish,131.0,True,True,66,159
I000044,R0003,Chicken Tikka,starter,186.0,True,True,69,763
I000045,R0003,Halwa,dessert,212.0,False,True,58,603
I000046,R0003,Cold Coffee,beverage,99.0,False,False,6,617
I000047,R0004,Crispy Corn,starter,759.0,True,True,8,639
I000048,R0004,Pita Bread,side_dish,975.0,True,True,38,407
I000049,R0004,Fruit Custard,dessert,782.0,True,False,94,705
I000050,R0004,Halwa,dessert,675.0,True,True,67,236
I000051,R0004,Coleslaw,side_dish,832.0,True,True,11,136
I000052,R0004,Coleslaw,side_dish,428.0,True,True,7,670
I000053,R0004,Sweet Lassi,beverage,566.0,True,True,55,358
I000054,R0004,Pita Bread,side_dish,525.0,True,True,92,263
I000055,R0004,Veg Spring Rolls,starter,815.0,True,True,18,337
I000056,R0004,Cheesecake Slice,dessert,1020.0,True,True,50,349
I000057,R0004,Buttermilk,beverage,435.0,True,True,7,190
I000058,R0004,Veg Seekh Kebab,starter,462.0,True,True,11,616
I000059,R0004,Paneer Butter Masala,main_course,932.0,True,False,42,461
I000060,R0004,Chicken Nuggets,starter,842.0,True,False,7,497
I000061,R0004,Crispy Corn,starter,1058.0,True,True,42,235
I000062,R0005,Rasgulla,dessert,75.0,True,True,10,714
I000063,R0005,Sev Puri,snack,69.0,True,True,17,754
I000064,R0005,Chicken Biryani,main_course,85.0,True,True,85,430
I000065,R0005,Masala Chai,beverage,186.0,True,True,79,700
I000066,R0005,Masala Chai,beverage,225.0,True,True,82,834
I000067,R0005,Chicken Nuggets,starter,103.0,False,True,63,881
I000068,R0005,Popcorn Chicken,snack,61.0,False,True,44,476
I000069,R0005,Steamed Rice,side_dish,88.0,True,True,53,511
I000070,R0005,Jeera Rice,side_dish,166.0,True,True,71,135
I000071,R0006,Nachos,snack,203.0,True,True,12,182
I000072,R0006,Chocolate Mousse,dessert,76.0,True,False,61,886
I000073,R0006,Salan,side_dish,89.0,True,True,77,807
I000074,R0006,Kheer,dessert,75.0,True,True,11,698
I000075,R0006,Sprite,beverage,196.0,True,True,4,604
I000076,R0006,Mango Lassi,beverage,112.0,False,True,5,826
I000077,R0006,Fresh Lime Soda,beverage,85.0,True,True,44,601
I000078,R0006,Chocolate Mousse,dessert,158.0,True,True,48,469
I000079,R0006,Kheer,dessert,92.0,False,True,48,295
I000080,R0006,Fruit Custard,dessert,108.0,True,True,21,591
I000081,R0006,Samosa (2 pcs),starter,68.0,True,True,9,328
I000082,R0006,Veg Sandwich,snack,143.0,False,True,57,611
I000083,R0006,Samosa (2 pcs),starter,183.0,False,True,26,418
