order_id,item_id,quantity,price,category,item_name,line_total
ORD0000002,I006192,1,119.0,main_course,Fish Curry,119.0
ORD0000002,I006187,1,170.0,snack,Bhel Puri,170.0
ORD0000003,I006015,1,195.0,starter,Samosa (2 pcs),195.0
ORD0000003,I006016,3,209.0,side_dish,Jeera Rice,627.0
ORD0000003,I006013,1,175.0,dessert,Fruit Custard,175.0
ORD0000004,I006911,1,89.0,snack,Corn on the Cob,89.0
ORD0000004,I006906,1,175.0,beverage,Cold Coffee,175.0
ORD0000005,I001919,2,1146.0,starter,Paneer Tikka,2292.0
ORD0000005,I001921,1,425.0,starter,Crispy Corn,425.0
ORD0000006,I003429,1,255.0,beverage,Watermelon Juice,255.0
ORD0000007,I003129,1,81.0,main_course,Fish Curry,81.0
ORD0000008,I000957,1,80.0,beverage,Rose Sharbat,80.0
ORD0000009,I005606,1,315.0,snack,Chicken Sandwich,315.0
ORD0000009,I005613,1,345.0,snack,Corn on the Cob,345.0
ORD0000009,I005601,2,471.0,starter,Fish Tikka,942.0
ORD0000010,I004648,1,716.0,dessert,Chocolate Mousse,716.0
ORD0000010,I004646,1,937.0,starter,Crispy Corn,937.0
ORD0000011,I002736,1,100.0,side_dish,Pita Bread,100.0
ORD0000011,I002735,1,194.0,starter,Onion Rings,194.0
ORD0000011,I002739,1,205.0,snack,Veg Sandwich,205.0
ORD0000012,I006801,1,250.0,starter,Chicken Nuggets,250.0
ORD0000012,I006804,1,194.0,side_dish,Coleslaw,194.0
ORD0000013,I003635,1,159.0,side_dish,Garlic Naan,159.0
ORD0000014,I006702,1,111.0,dessert,Rasgulla,111.0
ORD0000015,I000793,1,75.0,dessert,Chocolate Mousse,75.0
ORD0000015,I000794,2,71.0,starter,Fish Tikka,142.0
ORD0000016,I005213,1,429.0,snack,Sev Puri,429.0
ORD0000016,I005222,2,493.0,dessert,Ice Cream (Chocolate),986.0
ORD0000017,I003730,1,251.0,side_dish,Coleslaw,251.0
ORD0000017,I003731,2,753.0,beverage,Cold Coffee,1506.0
ORD0000017,I003718,1,326.0,beverage,Rose Sharbat,326.0
ORD0000018,I005005,1,64.0,starter,Aloo Tikki,64.0
ORD0000018,I005012,1,86.0,snack,Chicken Sandwich,86.0
ORD0000018,I004997,1,84.0,main_course,Chole Bhature,84.0
ORD0000019,I001925,2,288.0,snack,Sev Puri,576.0
ORD0000020,I004763,2,185.0,dessert,Brownie,370.0
ORD0000021,I005756,1,251.0,starter,Pav Bhaji,251.0
ORD0000021,I005747,2,399.0,starter,Paneer Tikka,798.0
ORD0000022,I005385,1,122.0,beverage,Mineral Water,122.0
ORD0000022,I005387,1,95.0,snack,Sev Puri,95.0
ORD0000023,I000149,1,68.0,starter,Crispy Corn,68.0
ORD0000023,I000153,2,92.0,dessert,Halwa,184.0
ORD0000023,I000156,1,93.0,beverage,Sweet Lassi,93.0
ORD0000023,I000144,2,129.0,main_course,Chole Bhature,258.0
ORD0000023,I000146,1,202.0,dessert,Chocolate Mousse,202.0
ORD0000024,I004076,1,79.0,dessert,Rasgulla,79.0
ORD0000024,I004062,3,111.0,side_dish,Butter Naan,333.0
ORD0000025,I006353,1,128.0,dessert,Ice Cream (Vanilla),128.0
ORD0000025,I006345,2,79.0,main_course,Egg Curry,158.0
ORD0000026,I001691,1,198.0,starter,Fish Tikka,198.0
ORD0000026,I001700,2,188.0,main_course,Butter Chicken,376.0
ORD0000026,I001697,1,291.0,snack,Garlic Bread (plain),291.0
ORD0000026,I001693,1,110.0,main_course,Fish Curry,110.0
ORD0000026,I001699,1,140.0,snack,Popcorn Chicken,140.0
ORD0000027,I002004,1,290.0,snack,Nachos,290.0
ORD0000027,I002011,1,394.0,snack,Mini Burgers,394.0
ORD0000027,I002010,1,496.0,starter,Chicken Nuggets,496.0
ORD0000027,I001999,1,180.0,snack,Mini Burgers,180.0
ORD0000029,I005453,1,30.0,dessert,Gajar Ka Halwa,30.0
ORD0000030,I004839,1,69.0,main_course,Rajma Chawal,69.0
ORD0000031,I003992,1,201.0,dessert,Ice Cream (Chocolate),201.0
ORD0000031,I003995,1,177.0,snack,Veg Wrap,177.0
ORD0000032,I004399,1,93.0,dessert,Kheer,93.0
ORD0000032,I004400,1,87.0,dessert,Fruit Custard,87.0
ORD0000032,I004411,2,62.0,beverage,Mineral Water,124.0
ORD0000033,I005748,1,165.0,main_course,Chicken Pizza,165.0
ORD0000033,I005760,2,354.0,starter,Chicken Tikka,708.0
ORD0000033,I005753,1,414.0,side_dish,Jeera Rice,414.0
ORD0000034,I003784,1,74.0,main_course,Chicken Pizza,74.0
ORD0000034,I003798,1,107.0,side_dish,Jeera Rice,107.0
ORD0000034,I003787,2,35.0,side_dish,Pita Bread,70.0
ORD0000035,I001298,2,193.0,beverage,Mango Lassi,386.0
ORD0000035,I001296,1,174.0,side_dish,Garlic Naan,174.0
ORD0000037,I000023,2,287.0,beverage,Rose Sharbat,574.0
ORD0000037,I000026,1,140.0,beverage,Coca-Cola,140.0
ORD0000038,I006864,1,113.0,starter,Veg Spring Rolls,113.0
ORD0000038,I006858,2,288.0,main_course,Chole Bhature,576.0
ORD0000039,I002329,1,68.0,snack,Masala Fries,68.0
ORD0000040,I004997,1,84.0,main_course,Chole Bhature,84.0
ORD0000040,I005014,2,75.0,side_dish,Steamed Rice,150.0
ORD0000041,I003982,1,70.0,main_course,Rajma Chawal,70.0
ORD0000041,I003975,1,103.0,side_dish,Laccha Paratha,103.0
ORD0000041,I003983,1,71.0,snack,Bhel Puri,71.0
ORD0000041,I003980,1,159.0,main_course,Mutton Biryani,159.0
ORD0000042,I004069,1,159.0,dessert,Ice Cream (Vanilla),159.0
ORD0000042,I004065,1,115.0,beverage,Buttermilk,115.0
ORD0000042,I004067,1,172.0,main_course,Veg Biryani,172.0
ORD0000042,I004064,2,178.0,snack,French Fries,356.0
ORD0000042,I004071,1,192.0,main_course,Margherita Pizza,192.0
ORD0000043,I000008,1,316.0,starter,Pav Bhaji,316.0
ORD0000043,I000013,1,191.0,dessert,Chocolate Mousse,191.0
ORD0000043,I000014,1,460.0,beverage,Cold Coffee,460.0
ORD0000043,I000012,2,158.0,snack,Bhel Puri,316.0
ORD0000044,I001380,2,100.0,dessert,Brownie,200.0
ORD0000044,I001374,1,254.0,starter,Onion Rings,254.0
ORD0000044,I001381,2,152.0,dessert,Ice Cream (Chocolate),304.0
ORD0000045,I000783,1,138.0,main_course,Fried Rice,138.0
ORD0000045,I000788,2,152.0,dessert,Gajar Ka Halwa,304.0
ORD0000045,I000785,1,94.0,side_dish,Coleslaw,94.0
ORD0000046,I002180,1,1162.0,beverage,Cold Coffee,1162.0
ORD0000046,I002175,1,372.0,snack,Corn on the Cob,372.0
ORD0000047,I005505,1,623.0,beverage,Sweet Lassi,623.0
ORD0000047,I005507,2,685.0,beverage,Sprite,1370.0
ORD0000047,I005510,1,480.0,starter,Veg Spring Rolls,480.0
ORD0000047,I005511,1,529.0,main_course,Chicken Pizza,529.0
ORD0000048,I001781,1,64.0,starter,Pav Bhaji,64.0
ORD0000048,I001775,2,49.0,starter,Onion Rings,98.0
