order_id,user_id,restaurant_id,order_datetime,meal_time,is_weekend,order_status,payment_method
ORD0000001,U00921,R0103,2024-01-04 12:10:00,lunch,False,failed,card
ORD0000002,U01410,R0443,2024-08-19 11:00:00,lunch,False,delivered,UPI
ORD0000003,U00565,R0430,2024-08-24 08:52:00,breakfast,True,delivered,card
ORD0000004,U00977,R0494,2024-12-30 23:08:00,late_night,False,delivered,wallet
ORD0000005,U00800,R0139,2024-03-04 12:44:00,lunch,False,delivered,UPI
ORD0000006,U00329,R0246,2024-01-08 21:16:00,dinner,False,delivered,UPI
ORD0000007,U00452,R0225,2024-07-08 10:36:00,breakfast,False,delivered,UPI
ORD0000008,U01854,R0069,2024-09-15 23:59:00,late_night,True,delivered,UPI
ORD0000009,U00036,R0400,2024-01-24 17:21:00,snack,False,delivered,card
ORD0000010,U00481,R0331,2024-11-28 10:41:00,breakfast,False,delivered,UPI
ORD0000011,U00996,R0197,2024-11-04 18:50:00,snack,False,delivered,card
ORD0000012,U00449,R0486,2024-07-10 19:23:00,dinner,False,delivered,card
ORD0000013,U01130,R0261,2024-07-14 20:56:00,dinner,True,delivered,UPI
ORD0000014,U01315,R0479,2024-06-05 13:04:00,lunch,False,delivered,UPI
ORD0000015,U00297,R0057,2024-10-26 15:15:00,lunch,True,delivered,COD
ORD0000016,U00549,R0370,2024-04-29 20:11:00,dinner,False,delivered,card
ORD0000017,U00760,R0268,2024-05-14 14:38:00,lunch,False,delivered,card
ORD0000018,U00522,R0354,2024-12-04 11:53:00,lunch,False,delivered,card
ORD0000019,U00203,R0140,2024-08-05 18:28:00,snack,False,delivered,UPI
ORD0000020,U01766,R0338,2024-07-27 12:16:00,lunch,True,delivered,UPI
ORD0000021,U01058,R0410,2024-08-28 16:23:00,snack,False,delivered,UPI
ORD0000022,U00636,R0383,2024-03-11 19:40:00,dinner,False,delivered,wallet
ORD0000023,U00827,R0011,2024-06-20 19:57:00,dinner,False,delivered,UPI
ORD0000024,U00129,R0291,2024-01-23 22:48:00,dinner,False,delivered,wallet
ORD0000025,U01961,R0454,2024-04-10 20:51:00,dinner,False,delivered,wallet
ORD0000026,U00220,R0124,2024-10-17 11:16:00,lunch,False,delivered,UPI
