restaurant_id,name,city,zone,cuisine,price_tier,avg_item_price,rating,num_ratings,is_chain,is_pure_veg,avg_prep_time_mins
R0001,The Food Corner #130,Delhi,Rohini,Street Food,mid,339.0,4.4,192,False,True,42
R0002,Chai Point,Chennai,Adyar,Biryani,mid,217.0,4.6,3028,True,False,17
R0003,Spice Garden #136,Pune,Baner,Italian,budget,118.0,5.0,1096,False,False,42
R0004,The Food Corner #135,Pune,Koregaon Park,Street Food,premium,590.0,3.3,1118,False,True,41
R0005,Spice Garden #108,Pune,Hinjewadi,Biryani,budget,133.0,4.9,4237,False,False,18
R0006,Chai Point,Pune,Kothrud,South Indian,budget,116.0,4.2,3390,True,False,31
R0007,Haldiram's,Bangalore,Whitefield,Beverages,budget,60.0,4.6,4823,True,True,33
R0008,The Food Corner #118,Mumbai,Andheri,Beverages,budget,129.0,4.3,3485,False,False,25
R0009,The Food Corner #129,Chennai,Anna Nagar,Fast Food,budget,127.0,4.1,3829,False,False,22
R0010,McDonald's,Mumbai,Thane,Chinese,budget,106.0,4.4,4527,True,True,26
R0011,The Food Corner #56,Delhi,Rohini,Italian,budget,141.0,3.6,1015,False,True,32
R0012,The Food Corner #123,Delhi,Dwarka,North Indian,mid,332.0,4.8,1229,False,False,32
R0013,The Food Corner #81,Bangalore,Indiranagar,Continental,budget,107.0,3.2,2484,False,False,23
R0014,Spice Garden #149,Delhi,Lajpat Nagar,Street Food,budget,115.0,3.6,550,False,False,19
R0015,The Food Corner #130,Mumbai,Andheri,Biryani,budget,150.0,3.1,4604,False,False,35
R0016,Spice Garden #155,Bangalore,Koramangala,Beverages,budget,87.0,3.5,99,False,False,31
R0017,The Food Corner #49,Pune,Wakad,Chinese,budget,89.0,3.4,1019,False,False,27
R0018,Spice Garden #126,Bangalore,HSR Layout,Italian,mid,187.0,3.1,1037,False,False,20
R0019,The Food Corner #152,Pune,Hinjewadi,Italian,premium,753.0,4.0,4677,False,False,38
R0020,The Food Corner #9,Mumbai,Powai,Beverages,premium,685.0,3.9,1165,False,True,36
R0021,Spice Garden #153,Mumbai,Thane,Continental,premium,398.0,3.2,3982,False,False,28
R0022,Bikanervala,Bangalore,HSR Layout,Chinese,budget,148.0,3.5,1529,True,False,29
R0023,Domino's,Bangalore,Indiranagar,Desserts,budget,126.0,4.9,4484,True,False,37
R0024,The Food Corner #154,Hyderabad,Banjara Hills,Continental,budget,137.0,3.2,3174,False,False,28
R0025,Spice Garden #31,Chennai,Adyar,South Indian,mid,160.0,3.6,3617,False,False,18
R0026,Spice Garden #81,Chennai,Velachery,Italian,budget,105.0,3.1,1708,False,False,32
R0027,The Food Corner #27,Kolkata,Salt Lake,Chinese,mid,290.0,3.3,1926,False,False,15
