user_id,city,zone,segment,is_veg,avg_order_value,orders_per_month,preferred_cuisine,registration_date,is_cold_start
U00001,Delhi,Connaught Place,budget,False,120.04,3,Fast Food,2024-02-28,False
U00002,Kolkata,Park Street,budget,True,133.21,1,Italian,2024-01-23,False
U00003,Chennai,Velachery,occasional,True,146.86,1,Desserts,2022-04-15,False
U00004,Bangalore,Indiranagar,budget,False,105.28,2,Chinese,2024-10-07,False
U00005,Mumbai,Bandra,budget,False,127.58,1,Biryani,2023-09-15,True
U00006,Mumbai,Bandra,premium,False,417.34,7,North Indian,2023-02-03,False
U00007,Mumbai,Andheri,mid_range,True,289.43,3,Street Food,2024-04-08,True
U00008,Pune,Hinjewadi,premium,False,720.75,6,Chinese,2022-10-09,False
U00009,Hyderabad,Jubilee Hills,budget,False,142.03,3,Beverages,2024-01-30,False
U00010,Hyderabad,Madhapur,mid_range,False,209.46,4,Continental,2022-02-13,False
U00011,Mumbai,Powai,budget,False,108.79,1,Continental,2024-07-08,False
U00012,Kolkata,Park Street,budget,False,127.07,3,Street Food,2023-05-06,False
U00013,Pune,Koregaon Park,occasional,False,241.16,1,South Indian,2023-11-29,False
U00014,Mumbai,Andheri,budget,True,107.79,1,Italian,2022-08-31,False
U00015,Mumbai,Bandra,mid_range,False,297.59,4,Biryani,2024-01-12,False
U00016,Mumbai,Bandra,mid_range,True,284.25,4,Chinese,2024-04-25,False
U00017,Delhi,Dwarka,mid_range,True,166.25,7,North Indian,2023-06-03,True
U00018,Bangalore,Jayanagar,occasional,True,148.12,1,Fast Food,2023-11-08,True
U00019,Bangalore,Koramangala,budget,True,148.41,3,Street Food,2023-05-15,False
U00020,Delhi,Dwarka,premium,True,729.71,8,South Indian,2024-09-06,False
U00021,Hyderabad,Banjara Hills,frequent,True,459.83,11,Continental,2023-06-30,False
U00022,Mumbai,Thane,mid_range,True,243.54,6,North Indian,2024-07-10,False
U00023,Delhi,Rohini,frequent,False,323.36,13,Continental,2024-05-27,False
U00024,Delhi,Lajpat Nagar,budget,True,103.12,2,Desserts,2023-03-26,False
U00025,Bangalore,HSR Layout,mid_range,False,320.11,4,Street Food,2022-09-09,False
U00026,Chennai,OMR,budget,True,145.41,3,South Indian,2023-03-21,False
U00027,Mumbai,Dadar,premium,False,811.64,8,Fast Food,2024-06-23,False
U00028,Bangalore,Koramangala,frequent,False,433.86,8,Beverages,2022-09-07,True
U00029,Bangalore,Indiranagar,budget,False,137.29,1,South Indian,2023-07-29,False
U00030,Mumbai,Powai,premium,False,844.96,11,Biryani,2024-06-01,False
U00031,Hyderabad,Gachibowli,budget,True,100.58,1,Fast Food,2023-01-23,False
U00032,Mumbai,Dadar,mid_range,False,303.07,4,Chinese,2023-12-05,True
U00033,Mumbai,Bandra,mid_range,False,323.11,3,South Indian,2022-09-26,False
U00034,Kolkata,Salt Lake,frequent,False,237.79,19,Fast Food,2022-04-30,False
U00035,Kolkata,New Town,mid_range,False,284.77,7,Chinese,2024-05-19,True
U00036,Chennai,T Nagar,mid_range,True,214.87,6,South Indian,2022-04-19,False
U00037,Delhi,Connaught Place,budget,False,121.6,2,North Indian,2022-10-25,False
U00038,Mumbai,Powai,budget,True,127.78,2,Beverages,2024-07-25,False
U00039,Hyderabad,Jubilee Hills,budget,False,110.03,1,North Indian,2023-01-15,False
U00040,Bangalore,Whitefield,budget,True,133.8,1,Biryani,2024-12-01,False
U00041,Mumbai,Dadar,occasional,False,244.62,1,Fast Food,2024-12-08,False
U00042,Bangalore,Jayanagar,mid_range,True,275.07,6,Chinese,2022-10-21,False
U00043,Mumbai,Dadar,mid_range,True,193.74,3,Desserts,2022-02-14,False
U00044,Pune,Koregaon Park,budget,False,89.17,2,South Indian,2024-02-12,False
U00045,Delhi,Rohini,occasional,False,272.9,1,Desserts,2023-05-09,True
U00046,Hyderabad,Madhapur,premium,False,767.08,6,South Indian,2022-04-21,False
U00047,Delhi,Connaught Place,budget,True,113.5,3,Biryani,2024-02-14,False
U00048,Bangalore,HSR Layout,premium,True,565.99,7,Desserts,2022-02-04,False
U00049,Bangalore,Koramangala,mid_range,False,152.74,3,Chinese,2024-08-10,False
U00050,Mumbai,Thane,budget,False,98.1,1,Italian,2022-06-01,False
U00051,Kolkata,New Town,mid_range,False,276.28,5,North Indian,2022-05-20,True
U00052,Chennai,OMR,mid_range,True,259.63,3,Chinese,2022-07-12,True
U00053,Kolkata,New Town,budget,False,100.72,2,Continental,2024-11-17,False
U00054,Pune,Hinjewadi,frequent,False,489.59,8,Street Food,2024-01-30,False
U00055,Bangalore,Indiranagar,occasional,True,280.27,1,Biryani,2024-05-27,False
U00056,Pune,Koregaon Park,premium,False,681.96,8,Beverages,2023-03-12,False
U00057,Mumbai,Andheri,mid_range,False,163.88,3,South Indian,2023-01-04,False
U00058,Mumbai,Bandra,mid_range,False,270.18,4,Chinese,2022-09-14,False
U00059,Mumbai,Dadar,premium,False,858.63,7,Desserts,2023-06-11,False
U00060,Delhi,Connaught Place,mid_range,True,178.66,6,Street Food,2023-08-28,True
U00061,Delhi,Lajpat Nagar,budget,True,100.53,2,Italian,2023-11-23,False
U00062,Delhi,Connaught Place,mid_range,True,289.57,7,Continental,2022-10-09,False
U00063,Chennai,Adyar,occasional,True,262.59,1,Desserts,2024-11-04,True
U00064,Delhi,Saket,mid_range,True,285.93,7,North Indian,2022-07-05,False
U00065,Delhi,Rohini,budget,True,100.71,1,Italian,2024-11-23,True
U00066,Bangalore,Whitefield,premium,False,535.98,5,Street Food,2022-01-17,True
U00067,Mumbai,Bandra,budget,False,126.33,2,Fast Food,2023-06-11,False
U00068,Chennai,Velachery,budget,False,121.54,1,Fast Food,2023-01-01,False
U00069,Mumbai,Dadar,budget,False,131.01,1,Street Food,2023-05-07,False
U00070,Kolkata,Salt Lake,mid_range,False,283.01,5,Fast Food,2023-09-17,False
U00071,Chennai,Velachery,premium,False,571.37,5,Biryani,2023-04-22,False
U00072,Mumbai,Andheri,mid_range,False,168.88,7,Chinese,2023-03-31,False
U00073,Mumbai,Thane,budget,False,144.29,2,South Indian,2024-03-13,False
U00074,Chennai,Anna Nagar,occasional,True,138.62,1,Chinese,2024-01-22,True
U00075,Hyderabad,Madhapur,occasional,False,251.21,1,Continental,2024-07-01,False
U00076,Hyderabad,Banjara Hills,occasional,True,141.28,1,Chinese,2022-10-01,False
U00077,Chennai,Anna Nagar,budget,True,129.85,2,Chinese,2023-10-30,False
U00078,Mumbai,Powai,mid_range,False,200.9,3,North Indian,2023-10-03,True
U00079,Delhi,Rohini,frequent,True,362.09,18,South Indian,2023-02-09,True
U00080,Mumbai,Dadar,premium,False,878.82,8,Chinese,2023-06-17,False
