,importance
cooccur_score,55480.12245887518
cooccur_log,20901.23700237274
affordability,17690.08113616705
user_avg_spend,16142.401883721352
price_ratio,13949.386260807514
cand_popularity,13454.583854794502
cand_price,13205.638671636581
upsell_pct,11296.236169934273
cart_size,10130.874104857445
cart_total_value,10052.30988574028
cart_avg_price,8945.604247152805
popularity_score,6509.889840006828
cand_category_encoded,5175.352604150772
meal_time_encoded,3858.517190217972
step,2289.5852979421616
is_tier1_city,1831.255034685135
segment_encoded,1649.451336324215
is_weekend,1485.1564493179321
is_complementary_category,1355.9094113111496
veg_match,1286.139079093933
cand_is_veg,1251.3260558247566
user_is_veg,1232.0661137104034
meal_completeness_score,1152.4475800991058
has_starter,1030.949366927147
has_dessert,972.9900507926941
has_side_dish,924.2397998571396
has_snack,899.826602101326
has_beverage,873.6996322870255
veg_mismatch,803.6542799472809
has_main_course,752.2423300743103
is_dinner_or_late,484.38754200935364
weekend_premium,253.43566048145294
step_ratio,246.8606674671173
cart_is_complete,105.93313980102539
